prolificID,exp_version,trial,detect,no_chaser,se_median,chase
55b00063fdf99b5c0061941f,preregistered_test,1,0,0,0,FALSE
55b00063fdf99b5c0061941f,preregistered_test,2,1,1,0,TRUE
55b00063fdf99b5c0061941f,preregistered_test,3,0,0,0,FALSE
55b00063fdf99b5c0061941f,preregistered_test,4,0,0,0,FALSE
55b00063fdf99b5c0061941f,preregistered_test,5,1,1,0,TRUE
55b00063fdf99b5c0061941f,preregistered_test,6,0,0,0,FALSE
55b00063fdf99b5c0061941f,preregistered_test,7,0,2,0,TRUE
55b00063fdf99b5c0061941f,preregistered_test,8,0,0,0,FALSE
55b00063fdf99b5c0061941f,preregistered_test,9,0,0,0,FALSE
55b00063fdf99b5c0061941f,preregistered_test,10,1,2,0,TRUE
55b00063fdf99b5c0061941f,preregistered_test,11,0,1,0,TRUE
55b00063fdf99b5c0061941f,preregistered_test,12,1,2,0,TRUE
55b00063fdf99b5c0061941f,preregistered_test,13,0,1,0,TRUE
55b00063fdf99b5c0061941f,preregistered_test,14,0,2,0,TRUE
55b00063fdf99b5c0061941f,preregistered_test,15,1,2,0,TRUE
55b00063fdf99b5c0061941f,preregistered_test,16,0,1,0,TRUE
55b00063fdf99b5c0061941f,preregistered_test,17,0,2,0,TRUE
55b00063fdf99b5c0061941f,preregistered_test,18,0,1,0,TRUE
55b00063fdf99b5c0061941f,preregistered_test,19,1,1,0,TRUE
55b00063fdf99b5c0061941f,preregistered_test,20,0,0,0,FALSE
55b00063fdf99b5c0061941f,preregistered_test,21,1,2,0,TRUE
55b00063fdf99b5c0061941f,preregistered_test,22,0,0,0,FALSE
55b00063fdf99b5c0061941f,preregistered_test,23,1,1,0,TRUE
55b00063fdf99b5c0061941f,preregistered_test,24,1,2,0,TRUE
55b00063fdf99b5c0061941f,preregistered_test,25,1,2,0,TRUE
55b00063fdf99b5c0061941f,preregistered_test,26,1,2,0,TRUE
55b00063fdf99b5c0061941f,preregistered_test,27,0,2,0,TRUE
55b00063fdf99b5c0061941f,preregistered_test,28,0,0,0,FALSE
55b00063fdf99b5c0061941f,preregistered_test,29,0,1,0,TRUE
55b00063fdf99b5c0061941f,preregistered_test,30,0,1,0,TRUE
55b00063fdf99b5c0061941f,preregistered_test,31,0,0,0,FALSE
55b00063fdf99b5c0061941f,preregistered_test,32,1,1,0,TRUE
55b00063fdf99b5c0061941f,preregistered_test,33,0,0,0,FALSE
55b00063fdf99b5c0061941f,preregistered_test,34,0,2,0,TRUE
55b00063fdf99b5c0061941f,preregistered_test,35,0,0,0,FALSE
55b00063fdf99b5c0061941f,preregistered_test,36,0,1,0,TRUE
55bd8669fdf99b5bfc7d4cfc,preregistered_test,1,0,0,1,FALSE
55bd8669fdf99b5bfc7d4cfc,preregistered_test,2,1,2,1,TRUE
55bd8669fdf99b5bfc7d4cfc,preregistered_test,3,0,0,1,FALSE
