id,sumLL,BIC,hit_rate,fit_duration,valid_trials,problem_fit,fit_method,bins,alpha_ml,alpha_wm,alpha_var,nu_ml,nu_wm,nu_var,xi_ml,xi_wm,xi_var,se_median
55b00063fdf99b5c0061941f,-21.50642556,53.76340794,0.575912121,2.270406961,36,TRUE,grid,"20,20,20",0.075344179,0.118597566,0.993699516,0.302423259,0.303889721,0.535373104,0.995,0.651422579,0.999974086,0
55bd8669fdf99b5bfc7d4cfc,-22.06060775,54.87177232,0.579782671,2.288321018,36,TRUE,grid,"20,20,20",0.044593666,0.123929026,0.999348333,0.302423259,0.29078308,0.534662534,0.005,0.276393731,0.999975419,1
56259489ed6e5a0005c80fde,-14.60830947,39.96717576,0.768929986,2.256714106,36,TRUE,grid,"20,20,20",0.005,0.16334697,0.999852665,0.124535375,0.130480514,0.563756049,0.005,0.149891233,0.999884329,0
566a19b57da035000fb39b89,-23.94924328,58.64904338,0.527658152,2.248028994,36,TRUE,grid,"20,20,20",0.005,0.176032,0.999789265,0.430798266,0.384374028,0.530622477,0.015083954,0.157083788,0.999866701,0
58f4d676c8b7eb0001879416,-23.50547296,57.76150273,0.540937207,2.271526814,36,TRUE,grid,"20,20,20",0.005,0.145045588,0.999599703,0.302423259,0.348308253,0.532688819,0.005,0.1934798,0.999938526,1
58f669cefb4d7500014af69b,-18.14849391,47.04754464,0.750035555,2.26560092,36,TRUE,grid,"20,20,20",0.124535375,0.27122463,0.984409851,0.569201734,0.557168359,0.546667797,0.995,0.822572083,0.999167389,0
5a4c1ecaefd8df0001d34305,-17.91607566,46.58270814,0.696592923,2.298110962,36,TRUE,grid,"20,20,20",0.198933247,0.257512288,0.952858943,0.430798266,0.386866667,0.544489314,0.995,0.900849463,0.996063013,0
5ac5a9a9f69e940001d984b5,-24.76727485,60.28510652,0.504398751,2.286862135,36,TRUE,grid,"20,20,20",0.044593666,0.102553778,0.999087941,0.430798266,0.46162549,0.529365397,0.005,0.287915645,0.999981581,0
5bb296281cabb90001cd4302,-16.31318522,43.37692725,0.728502214,2.29597187,36,TRUE,grid,"20,20,20",0.005,0.164475221,0.999803684,0.198933247,0.155278363,0.554246384,0.005,0.165350538,0.999908546,0
5bb356db42eb6700017d5196,-18.89890055,48.54835791,0.63611986,2.305865049,36,TRUE,grid,"20,20,20",0.198933247,0.174708452,0.760195096,0.302423259,0.299137783,0.544680357,0.995,0.924839864,0.989041059,0
5bbb5e3f118c0600013c3202,-20.89583115,52.54221912,0.608554031,2.262279987,36,TRUE,grid,"20,20,20",0.075344179,0.128357706,0.998859607,0.302423259,0.264192036,0.536965029,0.005,0.312814546,0.99997671,0
5beffd4ac5260b0001d5a130,-13.98473257,38.72002196,0.777267233,2.243854046,36,FALSE,grid,"20,20,20",0.198933247,0.283808642,0.999797467,0.124535375,0.119193679,0.572545478,0.075344179,0.303585929,0.999927305,0
5bf628eb7ea49f0001baa974,-24.14652889,59.04361459,0.524393681,2.415197849,36,TRUE,grid,"20,20,20",0.005,0.179970441,0.999873582,0.430798266,0.383266919,0.530580847,0.015083954,0.147118558,0.999866253,0
5bfff7c02213be0001c2c7cf,-22.81614167,56.38284015,0.558667919,2.205089092,36,TRUE,grid,"20,20,20",0.044593666,0.122625624,0.999512425,0.302423259,0.324466715,0.533006228,0.005,0.260933994,0.999976055,0
5c1b9212bfd9220001a9ada0,-21.82835094,54.4072587,0.566670585,2.196090937,36,TRUE,grid,"20,20,20",0.075344179,0.137359395,0.995534923,0.302423259,0.335815485,0.534117701,0.995,0.678261669,0.999962676,0
5c32a7310c5d02000114673c,-23.00967952,56.76991585,0.556697533,2.315490961,36,TRUE,grid,"20,20,20",0.008696373,0.141701392,0.999743628,0.302423259,0.323199777,0.53285859,0.005,0.18458042,0.999942883,1
5c347cb8bef9a20001e30950,-22.81662345,56.38380371,0.558794853,2.308177948,36,TRUE,grid,"20,20,20",0.044593666,0.099943269,0.998822079,0.302423259,0.321502711,0.533028714,0.005,0.278440308,0.999979925,0
5c51c71e556ac300018be1b7,-21.72440563,54.19936807,0.584309891,2.260415792,36,FALSE,grid,"20,20,20",0.075344179,0.153641793,0.999317439,0.302423259,0.283569456,0.536261859,0.026040039,0.347542483,0.999976333,0
