"prolificID","exp_version","trial","chaserInitialX","chaserInitialY","distractorSetStartingX","distractorSetStartingY","blockIsVolatile","miniBlock","chasingIsPresent","reportChasing","R-GPTS-reference","R-GPTS-persecution","spiritual-events","difficulty_halfway","difficulty_end","volatilityJudgment","noticeDifference","religiosity_general","religiosity_lens","religiosity_practice"
"559b8c79fdf99b5ae13fd3d1","Pilot2",1,NA,NA,"80,182,288,418,534,29,178,319,458,503,66,158,288,390,513,80,200,301,403","30,25,31,77,93,233,175,199,196,212,387,372,354,371,379,474,548,487,521","1","miniBlockChasingIsDominant_Not",0,0,2,0,0,99,100,"didNotNotice","""I did not notice any difference at all.""",0,0,0
"559b8c79fdf99b5ae13fd3d1","Pilot2",2,394.557326851476,97.7932926316736,"44,200,310,422,508,85,162,332,401,579,91,141,295,439,569,77,186,322","21,84,81,44,94,220,204,239,189,231,395,350,371,385,364,477,500,481","1","miniBlockChasingIsDominant_Not",1,0,2,0,0,99,100,"didNotNotice","""I did not notice any difference at all.""",0,0,0
"559b8c79fdf99b5ae13fd3d1","Pilot2",3,NA,NA,"43,190,321,382,571,77,172,338,414,531,81,180,272,407,574,56,171,308,421","72,35,38,72,53,233,189,173,196,243,369,321,356,332,376,525,485,523,486","1","miniBlockChasingIsDominant_Not",0,0,2,0,0,99,100,"didNotNotice","""I did not notice any difference at all.""",0,0,0
"559b8c79fdf99b5ae13fd3d1","Pilot2",4,NA,NA,"77,215,273,383,522,85,179,295,455,542,20,203,325,387,505,89,155,264,383","45,61,22,42,26,228,228,229,204,215,395,375,366,356,393,535,544,538,534","1","miniBlockChasingIsDominant_Not",0,1,2,0,0,99,100,"didNotNotice","""I did not notice any difference at all.""",0,0,0
"559b8c79fdf99b5ae13fd3d1","Pilot2",5,NA,NA,"38,150,295,405,578,79,194,265,419,504,83,191,260,417,517,89,159,264,417","82,61,41,39,32,239,249,183,171,189,358,372,372,381,346,540,534,470,482","1","miniBlockChasingIsDominant_Not",0,1,2,0,0,99,100,"didNotNotice","""I did not notice any difference at all.""",0,0,0
"559b8c79fdf99b5ae13fd3d1","Pilot2",6,NA,NA,"74,207,313,448,504,35,190,297,452,569,20,219,297,456,554,21,150,324,426","82,44,76,58,40,237,224,211,227,196,326,372,330,321,346,545,489,529,497","1","miniBlockChasingIsDominant_Not",0,0,2,0,0,99,100,"didNotNotice","""I did not notice any difference at all.""",0,0,0
"559b8c79fdf99b5ae13fd3d1","Pilot2",7,NA,NA,"37,160,285,411,525,40,141,301,428,564,62,180,314,406,528,50,158,312,425","42,25,47,59,37,241,191,214,181,203,322,378,329,366,364,505,532,520,495","1","miniBlockChasingIsDominant_Not",0,0,2,0,0,99,100,"didNotNotice","""I did not notice any difference at all.""",0,0,0
"559b8c79fdf99b5ae13fd3d1","Pilot2",8,563.769546723447,348.180921360484,"67,150,264,434,554,59,212,303,430,518,94,165,333,402,576,98,159,302","64,92,83,30,34,189,248,223,234,194,325,392,395,334,388,498,494,546","1","miniBlockChasingIsDominant_Not",1,1,2,0,0,99,100,"didNotNotice","""I did not notice any difference at all.""",0,0,0
"559b8c79fdf99b5ae13fd3d1","Pilot2",9,NA,NA,"86,185,270,406,523,78,217,307,418,505,21,162,278,387,565,49,151,314,395","80,25,93,68,37,171,246,248,228,193,354,338,347,335,351,517,541,545,477","1","miniBlockChasingIsDominant_Not",0,0,2,0,0,99,100,"didNotNotice","""I did not notice any difference at all.""",0,0,0
"559b8c79fdf99b5ae13fd3d1","Pilot2",10,NA,NA,"100,209,325,459,562,96,140,300,453,580,29,149,283,442,514,98,152,329,426","76,75,93,35,37,229,209,192,236,193,326,348,333,335,340,486,519,518,531","1","miniBlockChasingIsDominant_Not",0,1,2,0,0,99,100,"didNotNotice","""I did not notice any difference at all.""",0,0,0
"559b8c79fdf99b5ae13fd3d1","Pilot2",11,NA,NA,"38,220,306,453,521,27,220,306,410,569,69,188,340,458,574,35,170,274,417","90,30,48,42,63,228,172,214,231,225,373,386,330,348,383,514,506,507,498","1","miniBlockChasingIsDominant_Not",0,1,2,0,0,99,100,"didNotNotice","""I did not notice any difference at all.""",0,0,0
"559b8c79fdf99b5ae13fd3d1","Pilot2",12,NA,NA,"83,186,333,384,576,55,154,306,402,506,76,165,307,452,553,75,180,285,453","63,99,71,62,45,223,228,216,180,193,387,378,330,398,333,508,482,472,516","1","miniBlockChasingIsDominant_Not",0,1,2,0,0,99,100,"didNotNotice","""I did not notice any difference at all.""",0,0,0
"559b8c79fdf99b5ae13fd3d1","Pilot2",13,NA,NA,"73,166,302,417,533,92,205,296,398,566,49,206,321,438,513,26,177,322,438","38,87,33,67,95,218,190,175,188,182,370,350,321,389,360,496,519,539,519","1","miniBlockChasingIsDominant_Not",0,0,2,0,0,99,100,"didNotNotice","""I did not notice any difference at all.""",0,0,0
"559b8c79fdf99b5ae13fd3d1","Pilot2",14,NA,NA,"56,176,299,413,565,23,217,274,403,580,57,194,276,445,564,96,147,335,454","66,89,41,48,31,213,233,201,198,206,391,327,330,344,340,520,492,533,481","1","miniBlockChasingIsDominant_Not",0,1,2,0,0,99,100,"didNotNotice","""I did not notice any difference at all.""",0,0,0
"559b8c79fdf99b5ae13fd3d1","Pilot2",15,497.331877286119,34.9195214840224,"61,184,279,421,574,54,210,264,458,551,46,203,290,411,528,35,176,303","50,47,94,59,54,177,207,243,218,213,384,347,322,385,326,484,527,550","1","miniBlockChasingIsDominant_Not",1,0,2,0,0,99,100,"didNotNotice","""I did not notice any difference at all.""",0,0,0
"559b8c79fdf99b5ae13fd3d1","Pilot2",16,NA,NA,"88,190,295,453,534,91,194,321,393,515,28,167,289,420,571,78,156,319,418","58,31,30,27,85,239,177,178,244,249,396,344,391,373,368,476,526,484,507","1","miniBlockChasingIsDominant_Not",0,0,2,0,0,99,100,"didNotNotice","""I did not notice any difference at all.""",0,0,0
"559b8c79fdf99b5ae13fd3d1","Pilot2",17,NA,NA,"56,209,261,458,503,36,161,288,412,559,61,187,280,424,552,53,177,283,409","22,80,75,78,58,236,180,228,199,206,355,385,340,322,382,503,507,526,501","1","miniBlockChasingIsDominant_Not",0,0,2,0,0,99,100,"didNotNotice","""I did not notice any difference at all.""",0,0,0
"559b8c79fdf99b5ae13fd3d1","Pilot2",18,NA,NA,"40,163,332,445,513,65,182,279,410,555,51,197,290,404,545,62,207,288,448","23,79,79,67,42,198,242,195,200,186,380,369,328,361,330,516,495,544,546","1","miniBlockChasingIsDominant_Not",0,0,2,0,0,99,100,"didNotNotice","""I did not notice any difference at all.""",0,0,0
"559b8c79fdf99b5ae13fd3d1","Pilot2",19,NA,NA,"69,203,302,448,523,81,141,333,449,557,23,156,340,450,518,77,219,303,447","98,72,89,21,45,250,187,186,203,210,383,398,374,340,338,478,492,473,503","1","miniBlockChasingIsDominant_Not",0,0,2,0,0,99,100,"didNotNotice","""I did not notice any difference at all.""",0,0,0
"559b8c79fdf99b5ae13fd3d1","Pilot2",20,NA,NA,"83,165,332,396,515,99,192,282,447,532,57,210,273,411,562,33,149,328,458","27,73,24,97,44,181,245,175,235,235,383,326,329,377,337,523,512,485,520","1","miniBlockChasingIsDominant_Not",0,0,2,0,0,99,100,"didNotNotice","""I did not notice any difference at all.""",0,0,0
"559b8c79fdf99b5ae13fd3d1","Pilot2",21,NA,NA,"53,146,288,456,542,28,207,301,403,511,23,163,310,431,538,56,200,264,409","88,24,78,59,94,220,226,232,214,236,340,337,368,363,329,523,536,549,528","1","miniBlockChasingIsDominant_Not",0,0,2,0,0,99,100,"didNotNotice","""I did not notice any difference at all.""",0,0,0
"559b8c79fdf99b5ae13fd3d1","Pilot2",22,184.182079562571,506.039032011254,"21,179,276,419,543,61,164,324,425,555,36,182,268,398,550,25,159,294","31,52,46,45,59,205,212,191,241,208,387,342,385,344,391,485,471,540","1","miniBlockChasingIsDominant_Not",1,1,2,0,0,99,100,"didNotNotice","""I did not notice any difference at all.""",0,0,0
"559b8c79fdf99b5ae13fd3d1","Pilot2",23,NA,NA,"77,179,276,445,532,37,182,278,455,579,93,144,298,424,522,51,210,340,433","59,97,73,88,21,228,200,188,191,175,327,359,374,353,371,501,520,494,506","1","miniBlockChasingIsDominant_Not",0,0,2,0,0,99,100,"didNotNotice","""I did not notice any difference at all.""",0,0,0
"559b8c79fdf99b5ae13fd3d1","Pilot2",24,NA,NA,"55,201,293,400,547,89,157,317,431,506,62,174,321,437,570,25,213,309,440","26,54,44,34,41,248,187,246,184,184,333,357,357,333,357,502,530,532,526","1","miniBlockChasingIsDominant_Not",0,1,2,0,0,99,100,"didNotNotice","""I did not notice any difference at all.""",0,0,0
"559b8c79fdf99b5ae13fd3d1","Pilot2",25,514.070997595526,328.770134352788,"24,196,324,427,505,56,204,312,392,509,35,175,278,447,530,41,152,301","53,42,63,81,38,204,234,184,170,197,331,359,353,396,365,519,545,525","1","miniBlockChasingIsDominant_Yes",1,0,2,0,0,99,100,"didNotNotice","""I did not notice any difference at all.""",0,0,0
"559b8c79fdf99b5ae13fd3d1","Pilot2",26,134.647644612188,146.051881654606,"65,176,273,386,528,69,186,269,419,546,22,161,266,399,547,48,152,337","48,75,98,21,42,211,218,195,220,217,351,346,393,344,385,513,487,540","1","miniBlockChasingIsDominant_Yes",1,1,2,0,0,99,100,"didNotNotice","""I did not notice any difference at all.""",0,0,0
"559b8c79fdf99b5ae13fd3d1","Pilot2",27,NA,NA,"64,208,268,399,544,56,201,268,428,539,91,200,331,384,513,64,142,261,452","99,44,98,37,25,234,222,225,237,176,342,343,384,328,393,493,470,511,520","1","miniBlockChasingIsDominant_Yes",0,0,2,0,0,99,100,"didNotNotice","""I did not notice any difference at all.""",0,0,0
