"frame","targetX","targetY","chaserX","chaserY","d0_x","d0_y","d1_x","d1_y","d2_x","d2_y","d3_x","d3_y","d4_x","d4_y","d5_x","d5_y","d6_x","d6_y","d7_x","d7_y"
0,297.7307961527208,298.81159141457334,216.9463018312846,174.34250974649186,315.90565704113345,487.94509329062356,539.1568161760343,434.79594192168383,364.81131272204294,535.9394001575666,585.16529301577,26.90142554729413,96.31639455696093,495.0482349055781,509.65827137377767,141.4519442529306,457.45978854733943,80.6917881800183,182.21580678709523,131.74756332171202
1,295.4615923054416,297.6231828291467,217.51293041261522,172.47517847897876,316.9053531414105,489.6806747693679,537.9065778761454,436.36072291459,364.87489683221395,537.9412973635199,586.2140477454813,28.607810286788006,94.77727382537086,496.32993016415526,509.2554824281478,143.41393212943436,459.3532604026923,81.34478105536687,183.9688165506006,132.71637296830121
2,293.19238845816244,296.43477424372,218.13545423446544,170.56684101629364,317.90651047777953,491.41879311336226,538.591502223505,438.2459947857771,366.8291768862994,538.3931389951773,588,28.431631187577057,93.23590339133386,497.61349885143767,508.8521047338525,145.3787878049587,461.0088193335868,82.47725446177894,185.72438865393642,133.68659870486164
3,290.92318461088325,295.24636565829337,218.75993911264644,168.5849805788676,318.90910278900253,493.1594027302328,539.2774082839078,440.133968847349,368.78625804130417,538.8456282586862,585.9990539576257,28.255199568039902,91.69232368635298,498.898907298289,508.4481488718438,147.34645973961003,462.62141686242364,83.67493655267577,187.48247704690138,134.65821508151836
4,288.65398076360407,294.0579570728667,219.36241084954915,166.60774654764342,319.9131709406461,494.90257456706075,539.964324014819,442.02472205294777,370.7462200676686,539.2987835974658,583.995162473704,28.078508236840626,90.14647179426726,500.18620789783444,508.04359837691936,149.3170281355079,464.2363881742912,84.87438166092367,189.24315338901,135.63126170126182
5,286.3847769163249,292.86954848744006,220.00793459157688,164.62500080043264,320.91884189743195,496.6485290484525,538.3305640626155,443.20394194041165,372.54369171365835,540.2091828539886,582.6826461051537,26.54977284224094,88.5981522416371,501.47556342962446,507.63840209354674,151.2907421716224,465.85393748280075,86.07574145671958,191.00664031831857,136.60586160613158
6,284.1155730690457,291.6811399020134,220.65512891802888,162.66802794765852,321.9259783786717,498.39702784015833,536.6944232967415,444.3848802583125,374.3437827438857,541.1209087992901,581.368217058484,25.018809682098976,87.04757638424681,502.76679788816375,507.2326153336789,153.2673324230293,467.47384398185164,87.27885194656393,192.77269710728322,137.58188175684197
7,281.8463692217665,290.49273131658674,221.33026568030962,160.66948626058746,322.93464737176504,500.1481872396113,535.0557928930036,445.56761555408497,376.14661288732447,542.0340220747543,580.051787907427,23.485516927871117,85.06545123189613,503.16069160522346,506.23029765824987,155.0221348784193,469.09621541585204,88.48379315262326,194.54144122116725,138.55938707116044
8,279.5771653744873,289.3043227311601,222.010401433636,158.76801228475557,323.9447048913093,501.90175727244593,533.4149067624868,446.75197899472346,377.9519247937179,542.9483923353586,578.7335465695083,21.950113453911833,83.08059750037641,503.55512755352925,505.22660019954793,156.77935298219555,470.72082019465114,89.6903930720443,196.3126201754239,139.5382380122347
9,277.30796152720814,288.1159141457334,222.5580379862834,156.83486373534865,324.956115608106,503.6576766033201,531.7718222991418,447.93792915425945,379.759655317927,543.8639875987974,577.4135391533991,20.41265296466162,81.09308461473518,503.95009193673224,504.2215580643131,158.5389252714157,472.3476014937775,90.89860950108405,198.08617201879642,140.5184003423917
10,275.03875767992895,286.92750556030677,223.20971976128854,154.9210163903405,325.969153326762,505.4164205868983,530.1260946944574,449.12578708784065,381.5702938407119,544.7810557309444,576.0914083125678,18.87271924566109,79.10237452433174,504.345691677832,503.24637648670085,160.31893839211958,473.97699970822265,92.10876952271563,199.28828380283707,138.8830554008387
11,272.76955383264976,285.7390969748801,223.875564898879,153.03208764951384,326.9836892105463,507.1777655485617,528.477933249786,450.31540172534375,383.38361008757823,545.6994801003475,574.7673221937796,17.33050814354332,77.10872040491246,504.7418764650026,502.2697527287962,162.10158394549217,475.6088076133831,93.32071923046709,200.49217337058894,137.24529197405172
12,270.5003499853706,284.55068838945346,224.53339862127126,151.07814476201213,325.25273269195617,508.2488881450838,526.8274009776898,451.5067275853832,385.07889906328273,544.5727550341113,573.4413314195382,15.786078620173365,75.11219847792654,505.13863115129425,502.4666624232409,164.12759990255265,477.2429628219258,94.53441228903775,201.69779469490692,135.60517267705538
13,268.2311461380914,283.3622798040268,225.5680796518403,152.7920162370887,323.51915712699935,509.3216314176394,525.1743713461833,452.69985599657383,386.7767531181123,543.4443251617987,572.1133343376384,14.239312277542886,73.1126556873645,505.5359861524456,502.6638700544704,166.15668134951665,478.8795906103488,95.74994174174145,202.905240200315,133.96257177613683
14,265.9619422908122,282.17387121860014,226.70200317059795,154.46137489382136,321.78307227689686,510.39592744555995,523.5189490167272,453.8947114160701,388.47706475255103,542.3142619298716,570.7834150301268,12.690307049059447,71.11021863414442,505.9339163099513,502.01283652034283,168.09168985073896,480.51858735567316,96.96723062741219,204.11443343748178,132.31759327246226
15,263.692738443533,280.9854626331735,227.82271922228045,156.21440563133078,320.45745967042274,511.9525612873339,521.8610948208079,455.09132211503277,390.1798741972266,541.1825386002001,569.4515420301312,12,69.10483993912828,506.33243103913253,501.3608465978726,170.02954093913462,482.159991837771,98.18630774800307,205.32540301681132,130.67019824462668
16,261.42353459625383,279.7970540477468,228.97284011257904,158.0039151745,319.1290113611549,513.5125250242163,520.1996942028404,456.29049256055,391.88632623060107,540.0483943286999,568.1168199353334,13.554599208942,67.09517141015897,506.73179825668427,499.4374891931973,170.7359105765522,483.80490755328105,99.40799267450934,206.53896305869569,129.0192791686189
17,259.15433074897464,278.60864546232017,230.07389200520328,159.80830423909111,317.7980432636185,515.0754476856546,518.5351422557943,457.49193758129866,393.5960150461555,538.912098823004,566.7795661522097,15.112147167053655,65.08169096081043,507.1319229902211,497.5104835822722,171.44362004925966,485.4529433294617,100.63199488150302,207.75482496986268,127.36522864482284
18,256.6809396969328,279.1053850113436,231.2421982836441,161.53740413918675,316.4650584127997,516.6407385702032,516.8680680915671,458.69520309511086,395.3082944726624,537.7740815422369,565.4402860914,16.67205520424082,63.063697069185054,507.5252229001195,495.5509062519392,172.06574612346685,487.10347629664744,101.8578517614023,208.97252921932835,125.70867181615782
19,254.20754864489098,279.6021245603671,232.31626840316363,163.26819928267764,315.1300271884779,518.2084324601486,515.1984346661488,459.90031583971705,397.0232025586366,536.6343171985471,564.0989499927985,18.23435798317789,61.04260519094244,507.9191265967105,493.5883206150053,172.6888272740299,488.75654313128683,103.08559055393985,210.19210286566596,124.04957187231926
20,251.73415759284916,280.09886410939055,233.3477444563185,165.06981904302415,313.79206851197523,519.779563984221,513.5251400739177,461.10807115167916,398.74187108955397,535.4920535832651,562.7546726167078,19.80008657463094,59.017081468920395,508.3138940440623,491.62143142658994,173.31327471493873,490.7235205624479,102.46142112881108,211.41435078917831,122.38683385945241
21,249.26076654080734,280.595603658414,234.468901885264,166.83832246734903,312.45170084493674,521.3535243258334,511.84883271985234,462.3180010234144,400.4636340779444,534.3477333258111,561.407974873282,21.368634255660258,56.98791079758516,508.70937226900475,489.6510008601612,173.93884647156946,492.69403953050323,101.83612788852699,212.63879936636692,120.72110209184049
22,246.78737548876552,281.09234320743747,235.62337148753593,168.65743041766632,311.10912085355363,522.9300825447797,510.1697585610813,463.5299279272897,402.1882388971762,533.2015243272109,559.3515087842243,21.12572671039829,54.9553909081316,509.10550324477543,487.796589811032,173.01731702990375,494.66781090996164,101.20980257958588,213.86526893933356,119.05262097490318
23,244.3139844367237,281.5890827564609,236.67679139779062,170.45788463920346,310.8228633392919,524.9857776156073,508.48681843119056,464.7446452227538,404.21004328034974,532.732341393936,557.2903078009587,20.882259884565038,52.918191259209486,509.50254628920254,485.9379090877358,172.09366582000712,496.6461267838428,100.58203519285252,215.09456238754333,117.38029827671217
