"frame","targetX","targetY","chaserX","chaserY","d0_x","d0_y","d1_x","d1_y","d2_x","d2_y","d3_x","d3_y","d4_x","d4_y","d5_x","d5_y","d6_x","d6_y","d7_x","d7_y","d8_x","d8_y"
0,296.5486982120899,299.4315766056502,,,439.4398060712349,110.73478044708553,506.58492983219145,189.11339243243765,402.1137790934091,118.04301911389985,392.30299098291624,124.52810949481574,45.47852606862118,534.7150198954392,189.58312651144865,449.93968359717223,427.5480153137129,578.7860700106949,482.2508181064264,159.11215131509292,436.5137759133337,96.62349062739966
1,293.0973964241798,298.8631532113004,,,441.113450810217,109.63385152257882,504.90552985255675,190.2055219657537,401.3185253426361,116.20435038870231,392.3291077660317,122.5249996319331,45.98611760046091,532.777113281089,191.23621783741015,448.8081270244951,428.61117532465914,580.4839575217694,482.4606912479045,157.11989518858104,436.4078405477789,98.62396779734257
2,289.6460946362697,298.2947298169506,,,442.79118771980035,108.53023075501008,503.2220236303819,191.30032182704608,400.52132714454785,114.36118599848852,392.35528840638614,120.51699203472188,46.4949502267191,530.8344683586076,192.89335107953684,447.6738037221575,429.67693483120917,582.1859964786049,482.6710775429089,155.12276786583428,437.1119566743904,100.50465927034737
3,286.1947928483596,297.7263064226008,,,444.4714522321438,107.42494732216751,501.5359811136608,192.39677106443273,399.72292792360895,112.5152447799333,392.3815084893126,118.50595926382819,48.43995893438562,530.322724843301,194.24585621157004,449.1623164584755,430.74429996296476,583.8905996505688,482.8817807964167,153.12263176113584,437.81713359060177,102.38818410830403
4,282.7434910604495,297.15788302825104,,,444.50762144799324,105.41121948575596,499.84755025922686,193.49477346019938,398.9233977424775,110.66668872160727,392.407765713896,116.49207779525287,50.38772281435788,529.8102564255528,195.60027721404046,450.65293772472023,432.58891979494825,584.6991698001335,483.09278251839226,151.11966239426144,438.52330941437714,104.27437702453213
5,279.2921892725394,296.58945963390124,,,444.54386973965876,103.39308908854028,498.1554280323215,194.59517639005165,398.1221195693019,108.81409121324045,392.4340803439668,114.4737934299914,52.33974503985162,529.296667611429,196.95765935192847,452.1468178974775,434.4375724713032,585.5095077055904,483.30424554794575,149.1123139875451,439.2310291319928,106.16469367528475
6,275.8408874846293,296.02103623955145,,,444.5801709366669,101.37201317651125,496.4608361081695,195.69718538715063,397.31967190939145,106.95878978969967,392.46043338093773,112.45256332519615,52.01673318931936,527.301240598606,198.31702262502955,453.6428784279481,436.28892330524525,586.3210283207015,483.51601721339654,147.10203580261634,439.9397817852972,108.05776929329954
7,272.3895856967192,295.45261284520166,,,444.6165232321395,99.34809234794322,494.57794581831655,196.4403550623091,396.5160947042691,105.10087679789801,394.4535218328172,112.0987619223129,53.2985211893724,525.7345253939126,199.67829937156085,455.141044850296,438.1428801465003,587.1336912523411,483.7280869738916,145.08892790029685,440.6495320964004,109.95350965146744
8,268.9382839088091,294.88418945085186,,,444.6529278391809,97.3212590630298,492.69234601745165,197.18459417121494,395.31888493673983,103.46500784447316,395.0051177193377,110.14809013079584,54.58215370406332,524.1655556595088,199.13468033195727,457.09395467925054,439.9995048630449,587.947523619701,483.9404619063632,143.07292310161594,442.48448292216074,110.81509767789778
9,265.48698212089903,294.31576605650207,,,444.68938138980855,95.29170083482671,490.8042111523747,197.9298338603761,394.1200655998658,101.82693957344257,395.55745519004313,108.19479579007938,55.86751197776626,522.5944765490742,198.59033043251182,459.0494900662978,441.85862568871715,588,484.15312236288435,141.05420791782888,444.3219007179362,111.67784405244119
