"frame","targetX","targetY","chaserX","chaserY","d0_x","d0_y","d1_x","d1_y","d2_x","d2_y","d3_x","d3_y","d4_x","d4_y","d5_x","d5_y","d6_x","d6_y","d7_x","d7_y","d8_x","d8_y","d9_x","d9_y","d10_x","d10_y","d11_x","d11_y","d12_x","d12_y","d13_x","d13_y","d14_x","d14_y","d15_x","d15_y","d16_x","d16_y","d17_x","d17_y","d18_x","d18_y"
0,300.63273726531304,303.519942996987,,,433.2437594665788,316.99889334411273,335.63703097409837,123.54962531328188,582.0695918759769,488.553969570122,61.441901468603966,456.7642350030872,200.56279145910915,17.141742697719575,357.42512626498313,194.29217760963078,132.43109025818177,180.42467527937876,534.6808760058426,19.823581006811803,376.8068177733806,548.1240472587502,512.478999984141,381.7242740557643,446.9684902345506,354.99669318276716,526.3154758750619,394.3588745282135,341.4014531691777,500.94324980538687,412.5089700384885,158.90490445407343,146.052210164947,65.05174412685172,239.77166199226366,130.6023656589403,574.1669021979878,575.4241439928668,41.099677615076885,451.87732587420015,208.0325996346548,106.42673510398413
1,301.2654745306261,307.03988599397405,,,432.59296996539916,318.8917629670292,334.1177333125761,124.85278186561874,583.572191284201,489.8763452363417,61.46513030580045,454.76274985317275,200.01436107467046,19.066763865818782,359.40840296489455,194.02181504603513,133.7486787471537,181.93147419029364,533.2414277265322,21.214433635739766,375.1751674483471,546.9646510361309,512.0904176620359,383.68781324894405,446.85150275220303,356.9948914495014,524.6472660781286,395.46502029510935,342.3325457095932,499.1713725338502,414.20456490379564,159.96859634411945,144.15528642189943,65.6906202472913,239.3775691463542,128.63992503232032,572.4491282214389,574.3966543580301,42.45476799733997,453.3504899655707,206.19111413307078,107.21121807490289
2,301.8982117959391,310.5598289909611,,,432.6025067322917,320.89499149122224,332.59719745029236,126.15700046753038,585.0760152844051,491.1997986153746,61.488378074089,452.7596335282098,199.4654837291544,20.99335389217172,361.3932960002893,193.75123214172507,135.0673410474739,183.43950111570896,531.8008063222966,22.606419784996117,373.5421873571157,545.8043099260666,511.7015186522011,385.6529526918877,446.7344199271235,358.9947182125323,522.6682105112899,395.7754305614149,343.26439707398487,497.3980512136308,415.9015416489717,161.0331551242697,142.2568167195033,66.33001704048571,238.98315512173548,126.6758850512488,571.2483534142169,576.0001366100068,43.810962754332024,454.82485465965783,204.3481278533259,107.996340385588
3,302.53094906125216,314.0797719879481,,,432.612051375006,322.8998743570682,331.07540587215726,127.46229614234288,586.5810811991746,492.52434495211264,61.511645041261225,450.75486295425236,198.91615310002942,22.921534969216157,363.3798282351989,193.48042577984953,136.38709234884573,184.9487734266239,530.3589951985824,23.999555488903454,371.9078586893487,544.6430105625595,511.3122984748995,387.61971502108474,446.61724041063206,360.99619650791345,520.6875205657379,396.0860971762233,344.19701799637147,495.62326541779686,417.59991982153343,162.09859305720295,140.35677918923955,66.96994187166227,238.5884153751427,124.710223091901,570.0465869618805,577.6049430780913,45.16827750809371,456.3004369397046,202.503619566016,108.78211107988263
4,303.1636863265652,317.59971498493513,,,433.0809181422762,324.85066000518873,329.1656693026168,128.07736274469033,588,493.84983902028836,61.534928656274026,448.7486579388974,198.36642941715274,24.85109568680137,365.36778186171915,193.2094256522328,137.70778795074037,186.45912564299582,528.9161524388347,25.393688000900443,370.27236063655147,543.4808802731084,510.9227998051148,389.5878845962483,446.49997705055694,362.99910688902077,518.705413408815,396.3969860773416,345.13030622207776,493.84720973789223,419.29951320744226,163.1647933258854,138.45538215553654,67.61032457800971,240.29516476958935,123.65551593115948,570.461752449128,579.5678588451486,46.52656343955399,457.7770750195199,200.65779150721718,109.56844400410394
5,303.79642359187824,321.11965798192216,,,433.5501221582492,326.80284882362395,327.2545590887367,128.69287175504854,586.4927738439944,495.1762864960978,61.558229018835405,446.7410098909235,197.81631032642906,26.782044307933003,367.3571653929132,192.9382305983643,139.02943350880528,187.97056423264345,527.4722718643321,26.788823291115264,368.6356861949902,542.3179140810937,510.5330209748872,391.55746984571965,446.38262934473835,365.0034579329669,516.7218805524947,396.708098596097,346.1508646223194,492.11814810130284,419.536192841361,165.15857775312844,136.55261747599468,68.25116790185476,242.00314180280157,122.60005013566992,568.5774788957546,580.2611890460531,47.885826365334346,459.2547752225475,198.81063577249424,110.3553425255849
6,304.4291608571913,324.6396009789092,,,432.779962839712,328.65881674097454,325.34189246363474,129.3088820369315,584.9843202005911,496.503814232858,61.080554124113235,444.7891930498453,197.265743217836,28.71456549671719,369.34816908124424,192.6668146828092,140.35215541713143,189.4832337403015,528.4934808529835,28.519399636632002,366.99767884314,541.1540007675479,510.1429247081555,393.52865912857567,446.26518607076,367.0094413236164,514.7367323038363,397.01946448538644,347.17225416695817,490.38767831414475,419.7730652275531,167.15398592160528,134.64830318184747,68.89253312953008,243.71250981524767,121.5437247671445,566.6916707869785,580.9550838961848,49.246196277020495,460.73367886698935,196.96197571117975,111.14288189848324
7,305.0618981225043,328.1595439758962,,,432.0092059502028,330.51622471433143,323.4277417896784,129.92537028467694,583.4746961394726,497.83237200589906,60.60250859873803,442.83586178303864,196.7147489211088,30.64858613962406,371.3407176006002,192.3951881741098,141.6759036328689,190.99707693678775,530.4789874390109,28.20034766742109,365.4612942710853,542.4515187862929,509.75252576352364,395.5013778683473,446.147651671881,369.01698116812656,512.7500437674219,397.3310719652308,349.0854193095914,489.7681384048338,420.0101214043696,169.1509423385681,132.7425113194667,69.53439599611376,245.42320413600459,120.48657978978997,564.8043994690229,581.6495171432559,50.60762170741676,462.2137300011351,195.11188126406577,111.93103232763613
8,305.69463538781736,331.67948697288324,,,431.2378139819185,332.37516313184835,321.51201391741,130.54236649882074,581.9638281969013,499.1620244676214,60.124069179294835,440.88092103437725,198.08119647480515,32.12625954462633,373.3349079155599,192.12333785394307,143.00074257436788,192.51216749115792,532.4661300183166,27.881032809695633,363.92364376778147,543.7501059179646,509.3618051427746,397.47572206462496,446.0300204284547,371.0261751606081,510.76171826384024,397.642936199571,351.0001608384907,489.1480880146539,420.2473729078169,171.14954418309986,130.83514914616455,70.1767877369619,247.13530801361188,119.42856375912885,562.9155731004761,582.3445225808866,52.42801313344294,461.3553171255885,193.26026239890112,112.71983216727871
9,306.3273726531304,335.19942996987027,,,430.4658383029118,334.23550820425857,319.5948364177842,131.15982959273612,580.4518169836523,500.49268307463825,59.64526772572284,438.92450098605525,199.4486780165668,33.60505110206775,375.33060723024664,191.85128182519585,144.32658401878047,194.02840451144755,534.4547762643422,27.56147632707132,362.384829727491,545.0496756878591,508.97078886453204,399.4515602431123,445.9123001737074,373.0368895060687,509.83107007394057,399.4291960306301,351.13025650881525,487.1381364346447,420.4848039389909,173.14965836555407,128.92634367581232,70.81966557432466,248.8487074367168,118.36974712990424,561.0253174608847,583.0400539277085,54.249782045932854,460.4962546907771,191.4072424175335,113.50922889014441
